address,airdrop_received,cplay_bought,buy_transactions,vault_sent,played,flip_count,flip_10_count,flip_other_count,total_bets,total_payouts,wins,losses,miner_upgrade_count,click_upgrade_count,bought_miner,bought_click,onchain_miner_level,onchain_click_level,onchain_balance,first_activity_block,last_activity_block
0x18e8627707406A20b05DE0935D75764cd5055dE0,"5,410,010","5,410,010",2,0,false,0,0,0,0,0,0,0,0,0,false,false,0,0,0,12869364,12994862
0xC9113ff4317500fFBcCA683a008d24a30E45a295,10,10,1,0,false,0,0,0,0,0,0,0,0,0,false,false,0,0,0,12994875,12994875
0x784Cf02d4095fd7ed32c86aF6A7fc177D61c1e27,10,10,1,0,false,0,0,0,0,0,0,0,0,0,false,false,0,0,0,12994887,12994887
0x77777351928cE19beE8fF5b4b1406BC4c152827A,10,10,1,0,false,0,0,0,0,0,0,0,0,0,false,false,0,0,0,12994900,12994900
0x6D1FaAaAF942e259191B408f96E2cF71756d332F,10,10,1,0,false,0,0,0,0,0,0,0,0,0,false,false,0,0,0,12994912,12994912
0x444F04d7E3ce0E15f876C23f5d782CF113bd8A33,10,10,1,0,false,0,0,0,0,0,0,0,0,0,false,false,0,0,0,12994925,12994925
0xDbba359561bB9faD6CD8593C2b1f49b17884aEF6,10,10,1,0,false,0,0,0,0,0,0,0,0,0,false,false,0,0,0,12994938,12994938
0x5E5e8a91a068b7e5a4fc580656ed75A315E06849,10,10,1,0,false,0,0,0,0,0,0,0,0,0,false,false,0,0,0,12994950,12994950
0x6E6719a9dFb5c92C39663a077E1ab53bae19d926,10,10,1,0,false,0,0,0,0,0,0,0,0,0,false,false,0,0,0,12994963,12994963
0x559461E70B5Aa3e2Ce8FB7aa6f3E23Ac83eeb69C,10,10,1,0,false,0,0,0,0,0,0,0,0,0,false,false,0,0,0,12994976,12994976
0x335a84956485E469d2531B64F4866d5e05a3E8Ee,10,10,1,0,false,0,0,0,0,0,0,0,0,0,false,false,0,0,0,12994988,12994988
0x37CF7Bed2a18b5894Ee12D9B03625F5bcd6560b7,10,10,1,0,false,0,0,0,0,0,0,0,0,0,false,false,0,0,0,12995001,12995001
0xB7c27B79BC5F4f9331482AF5994b5ad757c14318,10,10,1,0,false,0,0,0,0,0,0,0,0,0,false,false,0,0,0,12995013,12995013
0x150952108F28DCAF4e4542090E67CD2696563944,10,10,1,0,false,0,0,0,0,0,0,0,0,0,false,false,0,0,0,12995026,12995026
0xa3a482054ae9eaf4a22473bCdc93813Bb2913316,10,10,1,0,false,0,0,0,0,0,0,0,0,0,false,false,0,0,0,12995039,12995039
0xaC1c61373766aAcb6472e2BE7d03828FBfaBE06a,10,10,1,0,false,0,0,0,0,0,0,0,0,0,false,false,0,0,0,12995051,12995051
0xC48835CB4fD812d2ddbD1EE7faC70861a0beB013,10,10,1,0,false,0,0,0,0,0,0,0,0,0,false,false,0,0,0,12995064,12995064
